Serial,Team Lead,Operator,Start,Finish,Host Serial,Index,Passed,Time,Firmware Test,MAC,Time.1,Serial Test,Time.2,Self-Test Test,Result,Unloaded3V3,Loaded3V3,Unloaded6V,Loaded6V,T1Freq,T1Cur,T2Freq,T2Cur,TDFreq,C1Freq,C2Freq,Time.3,Program Test,Time.4,Batch Test,Time.5,Bluetooth Test,RSSI,MAC.1,Time.6,LED Test,CurrentBase,CurrentG,CurrentR,Time.7,Button Test,Time.8,Metadata Test,Test Type,Version,Component,Batch,Sponsorship,Expiry,Firmware,Description,Time.9
101010947,KMANE,KMANE,2021-08-06T08:39:51.3126797+10:00,2021-08-06T08:39:55.2482866+10:00,682051906,2,True,3935,True,C7:D3:92:77:31:06,1827,True,0.0,True,0.0,3159.0,3013.0,5945.0,4921.0,10720.0,3238.0,9543.0,2015.0,212.0,7206.0,7538.0,15.0,True,12.0,True,43.0,True,-53.0,C7:D3:92:77:31:06,962.0,True,3151.0,4834.0,5352.0,198.0,True,602.0,True,CovidHomeAg,4.0,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,272.0
101010948,KMANE,KMANE,2021-08-06T08:56:16.6413779+10:00,2021-08-06T08:56:21.7017872+10:00,682581923,3,True,5060,True,CD:2E:95:C2:2A:AB,1883,True,0.0,True,0.0,3153.0,3024.0,5940.0,4975.0,11050.0,3211.0,9056.0,2010.0,132.0,7218.0,7442.0,53.0,True,17.0,True,36.0,True,-52.0,CD:2E:95:C2:2A:AB,1588.0,True,3098.0,4893.0,5310.0,605.0,True,600.0,True,CovidHomeAg,4.0,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,272.0
101010949,KMANE,KMANE,2021-08-06T09:18:55.6831809+10:00,2021-08-06T09:19:00.7598578+10:00,682051906,2,True,5076,True,CD:13:F0:08:62:2D,1954,True,0.0,True,0.0,3179.0,3045.0,5983.0,5018.0,12098.0,3291.0,6302.0,2042.0,486.0,7529.0,8098.0,14.0,True,9.0,True,51.0,True,-52.0,CD:13:F0:08:62:2D,1512.0,True,3123.0,4827.0,4989.0,640.0,True,608.0,True,CovidHomeAg,4.0,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,284.0
101010950,KMANE,KMANE,2021-08-06T09:21:11.1223596+10:00,2021-08-06T09:21:15.6616092+10:00,682581923,3,True,4539,True,DB:FE:5B:C9:96:8D,2043,True,0.0,True,0.0,3178.0,3048.0,6079.0,5087.0,10497.0,3350.0,9852.0,2112.0,1072.0,6642.0,7255.0,6.0,True,16.0,True,35.0,True,-52.0,DB:FE:5B:C9:96:8D,1246.0,True,3155.0,4845.0,5328.0,291.0,True,608.0,True,CovidHomeAg,4.0,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,287.0
101010952,KMANE,KMANE,2021-08-06T08:55:47.7429445+10:00,2021-08-06T08:55:52.0269398+10:00,682051906,2,True,4283,True,F1:78:FE:FD:A4:66,1836,True,0.0,True,0.0,3156.0,3026.0,5977.0,4943.0,6361.0,3227.0,7451.0,2010.0,374.0,8116.0,8287.0,6.0,True,16.0,True,35.0,True,-52.0,F1:78:FE:FD:A4:66,1340.0,True,3123.0,4834.0,5050.0,141.0,True,617.0,True,CovidHomeAg,4.0,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,288.0
101010953,KMANE,KMANE,2021-08-06T09:21:17.7685485+10:00,2021-08-06T09:21:22.7028809+10:00,682630989,1,True,4934,True,C4:C6:77:D7:CD:78,1883,True,0.0,True,0.0,3144.0,2952.0,5913.0,4776.0,10682.0,3254.0,11626.0,2053.0,537.0,9258.0,9477.0,10.0,True,17.0,True,50.0,True,-53.0,C4:C6:77:D7:CD:78,1426.0,True,3157.0,4937.0,5130.0,679.0,True,589.0,True,CovidHomeAg,4.0,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,272.0
101010954,KMANE,KMANE,2021-08-06T09:24:24.5588669+10:00,2021-08-06T09:24:30.7536037+10:00,682449290,4,True,6194,True,E9:E3:EC:44:9B:E7,1800,True,0.0,True,0.0,3125.0,2962.0,5913.0,4809.0,11373.0,3281.0,11374.0,2074.0,628.0,6882.0,6858.0,52.0,True,239.0,True,98.0,True,-52.0,E9:E3:EC:44:9B:E7,2714.0,True,3185.0,4866.0,5016.0,403.0,True,595.0,True,CovidHomeAg,4.0,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,288.0
101010955,KMANE,KMANE,2021-08-06T08:52:54.3768931+10:00,2021-08-06T08:52:58.6539435+10:00,682051906,2,True,4277,True,DF:4B:C3:F3:D8:30,1683,True,0.0,True,0.0,3152.0,3022.0,5956.0,4948.0,6583.0,3206.0,9097.0,2069.0,340.0,7289.0,7039.0,56.0,True,17.0,True,50.0,True,-51.0,DF:4B:C3:F3:D8:30,1353.0,True,3221.0,4975.0,5109.0,241.0,True,598.0,True,CovidHomeAg,4.0,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,273.0
101010956,KMANE,KMANE,2021-08-06T09:19:11.5765246+10:00,2021-08-06T09:19:16.8699836+10:00,682581923,3,True,5293,True,FE:C6:31:63:C3:7E,2072,True,0.0,True,0.0,3091.0,2988.0,5817.0,4846.0,11789.0,3157.0,9604.0,1994.0,270.0,6742.0,6604.0,5.0,True,9.0,True,49.0,True,-53.0,FE:C6:31:63:C3:7E,1744.0,True,3130.0,4752.0,4952.0,518.0,True,598.0,True,CovidHomeAg,4.0,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,288.0
101010957,KMANE,KMANE,2021-08-06T09:19:43.5631258+10:00,2021-08-06T09:19:48.5488972+10:00,682630989,1,True,4985,True,EA:F0:ED:DE:6E:18,1799,True,0.0,True,0.0,3134.0,2987.0,5961.0,4841.0,8884.0,3211.0,7613.0,2021.0,371.0,7116.0,7280.0,49.0,True,17.0,True,35.0,True,-52.0,EA:F0:ED:DE:6E:18,1684.0,True,3248.0,4944.0,5421.0,531.0,True,589.0,True,CovidHomeAg,4.0,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,275.0
