Serial,Team Lead,Operator,Start,Finish,Host Serial,Index,Passed,Time,Firmware Test,MAC,Time.1,Serial Test,Time.2,Self-Test Test,Result,Unloaded3V3,Loaded3V3,Unloaded6V,Loaded6V,T1Freq,T1Cur,T2Freq,T2Cur,TDFreq,C1Freq,C2Freq,Time.3,Program Test,Time.4,Batch Test,Time.5,Bluetooth Test,RSSI,MAC.1,Time.6,LED Test,CurrentBase,CurrentG,CurrentR,Time.7,Button Test,Time.8,Metadata Test,Test Type,Version,Component,Batch,Sponsorship,Expiry,Firmware,Description,Time.9
16780901,SJAMESON,KMANE,2021-08-06T10:18:26.9822536+10:00,2021-08-06T10:18:31.4275374+10:00,682449290,4,True,4445,True,D9:6B:F7:45:78:6C,2047,True,15.0,True,6.0,3046.0,2917.0,5736.0,4712.0,11101.0,3147.0,11784.0,2037.0,94.0,6565.0,6859.0,15.0,True,17.0,True,53.0,True,-51.0,D9:6B:F7:45:78:6C,824.0,True,3337.0,4952.0,5375.0,200.0,True,618.0,True,CovidHomeAg,4.0,N/A ,21192-474,Sponsored,2022-08-31,89.1.608,F1000227 COVID RC4,644.0
101010803,SJAMESON,KMANE,2021-08-06T10:07:13.1544747+10:00,2021-08-06T10:07:27.2971354+10:00,682449290,4,True,14142,True,FB:2D:08:12:90:81,1797,True,0.0,True,0.0,3089.0,2857.0,5881.0,4562.0,7116.0,3222.0,10904.0,2058.0,576.0,6673.0,6896.0,6.0,True,7413.0,True,2407.0,True,-53.0,FB:2D:08:12:90:81,767.0,True,3162.0,4959.0,5068.0,488.0,True,615.0,True,CovidHomeAg,4.0,N/A ,21192-474,Sponsored,2022-08-31,89.1.608,F1000227 COVID RC4,643.0
101010804,SJAMESON,KMANE,2021-08-06T10:12:45.5308159+10:00,2021-08-06T10:13:00.1692355+10:00,682051906,2,True,14638,True,C7:2B:79:B9:A9:77,1825,True,0.0,True,2.0,3022.0,2850.0,5704.0,4621.0,10762.0,3254.0,12914.0,2053.0,853.0,6854.0,6434.0,38.0,True,7673.0,True,2382.0,True,-52.0,C7:2B:79:B9:A9:77,1205.0,True,3353.0,4889.0,4977.0,279.0,True,609.0,True,CovidHomeAg,4.0,N/A ,21192-474,Sponsored,2022-08-31,89.1.608,F1000227 COVID RC4,613.0
101010806,SJAMESON,KMANE,2021-08-06T10:10:39.3947228+10:00,2021-08-06T10:10:53.9762406+10:00,682051906,2,True,14581,True,C5:8A:94:78:E7:0E,1741,True,0.0,True,0.0,3139.0,2998.0,5908.0,4873.0,4094.0,3232.0,7993.0,2064.0,92.0,8007.0,7501.0,7.0,True,7512.0,True,2349.0,True,-52.0,C5:8A:94:78:E7:0E,1258.0,True,3339.0,4948.0,5118.0,182.0,True,612.0,True,CovidHomeAg,4.0,N/A ,21192-474,Sponsored,2022-08-31,89.1.608,F1000227 COVID RC4,913.0
101010812,SJAMESON,KMANE,2021-08-06T10:05:36.4662719+10:00,2021-08-06T10:05:50.9541150+10:00,682051906,2,True,14487,True,CD:63:90:AF:2C:19,2046,True,0.0,True,2.0,3021.0,2889.0,5677.0,4696.0,9899.0,3189.0,12306.0,2026.0,177.0,8102.0,8068.0,9.0,True,7512.0,True,2404.0,True,-53.0,CD:63:90:AF:2C:19,1092.0,True,3323.0,4909.0,5077.0,164.0,True,612.0,True,CovidHomeAg,4.0,N/A ,21192-474,Sponsored,2022-08-31,89.1.608,F1000227 COVID RC4,642.0
101010814,SJAMESON,KMANE,2021-08-06T10:03:02.6080042+10:00,2021-08-06T10:03:17.2972183+10:00,682581923,3,True,14689,True,DB:A0:52:86:44:8F,1805,True,0.0,True,0.0,3139.0,3003.0,5940.0,4953.0,8044.0,3211.0,11471.0,2069.0,353.0,7626.0,7913.0,57.0,True,7460.0,True,2416.0,True,-55.0,DB:A0:52:86:44:8F,1422.0,True,3300.0,4828.0,4871.0,265.0,True,617.0,True,CovidHomeAg,4.0,N/A ,21192-474,Sponsored,2022-08-31,89.1.608,F1000227 COVID RC4,641.0
101010815,SJAMESON,KMANE,2021-08-06T10:10:34.5434961+10:00,2021-08-06T10:10:48.8017569+10:00,682630989,1,True,14258,True,C2:7E:D5:33:9D:8C,1919,True,0.0,True,0.0,3142.0,3011.0,5908.0,4910.0,7138.0,3173.0,9383.0,1978.0,26.0,7656.0,8367.0,6.0,True,7484.0,True,2309.0,True,-54.0,C2:7E:D5:33:9D:8C,1081.0,True,3323.0,5030.0,5128.0,231.0,True,608.0,True,CovidHomeAg,4.0,N/A ,21192-474,Sponsored,2022-08-31,89.1.608,F1000227 COVID RC4,613.0
101010816,SJAMESON,KMANE,2021-08-06T10:06:44.7225025+10:00,2021-08-06T10:07:00.0273656+10:00,682051906,2,True,15304,True,EE:F4:15:2A:D2:61,2010,True,0.0,True,0.0,3127.0,2995.0,5918.0,4830.0,8930.0,3163.0,9219.0,1994.0,36.0,7885.0,8101.0,528.0,True,7401.0,True,2385.0,True,-52.0,EE:F4:15:2A:D2:61,1484.0,True,3130.0,5050.0,5155.0,254.0,True,613.0,True,CovidHomeAg,4.0,N/A ,21192-474,Sponsored,2022-08-31,89.1.608,F1000227 COVID RC4,620.0
101010817,SJAMESON,KMANE,2021-08-06T10:08:20.7083304+10:00,2021-08-06T10:08:34.7919936+10:00,682630989,1,True,14083,True,E1:32:08:E4:F1:F4,1743,True,0.0,True,0.0,3130.0,2972.0,5897.0,4814.0,9481.0,3222.0,11617.0,2048.0,392.0,8368.0,8055.0,51.0,True,7420.0,True,2304.0,True,-54.0,E1:32:08:E4:F1:F4,929.0,True,3351.0,5057.0,5215.0,391.0,True,608.0,True,CovidHomeAg,4.0,N/A ,21192-474,Sponsored,2022-08-31,89.1.608,F1000227 COVID RC4,613.0
101010818,SJAMESON,KMANE,2021-08-06T10:29:04.9065935+10:00,2021-08-06T10:29:19.1489478+10:00,682051906,2,True,14242,True,C0:C6:80:2A:C1:E7,1850,True,0.0,True,0.0,3135.0,2987.0,5967.0,4916.0,9753.0,3195.0,10084.0,2058.0,303.0,7723.0,7987.0,10.0,True,7455.0,True,2417.0,True,-52.0,C0:C6:80:2A:C1:E7,833.0,True,3344.0,4956.0,5029.0,407.0,True,619.0,True,CovidHomeAg,4.0,N/A ,21192-474,Sponsored,2022-08-31,89.1.608,F1000227 COVID RC4,642.0
