Serial,Team Lead,Operator,Start,Finish,Host Serial,Index,Passed,Time,Firmware Test,MAC,Time.1,Serial Test,Time.2,Self-Test Test,Result,Unloaded3V3,Loaded3V3,Unloaded6V,Loaded6V,T1Freq,T1Cur,T2Freq,T2Cur,TDFreq,C1Freq,C2Freq,Time.3,Program Test,Time.4,Batch Test,Time.5,Bluetooth Test,RSSI,MAC.1,Time.6,LED Test,CurrentBase,CurrentG,CurrentR,Time.7,Button Test,Time.8,Metadata Test,Test Type,Version,Component,Batch,Sponsorship,Expiry,Firmware,Description,Time.9
16780903,Sakal Mon,KMANE,2021-08-06T11:23:14.9543152+10:00,2021-08-06T11:23:29.5885923+10:00,682051906,2,True,14634,True,C9:98:4C:80:2B:79,2061,True,6.0,True,2.0,3062.0,2942.0,5763.0,4825.0,4549.0,3168.0,9866.0,2048.0,111.0,7609.0,7843.0,14.0,True,7536.0,True,2414.0,True,-51.0,C9:98:4C:80:2B:79,1044.0,True,3283.0,4950.0,5072.0,287.0,True,617.0,True,CovidHomeAg,4.0,N/A ,21192-475,Sponsored,2022-08-31,89.1.608,F1000227 COVID RC4,642.0
16780904,Sakal Mon,KMANE,2021-08-06T11:25:08.7646013+10:00,2021-08-06T11:25:23.5139722+10:00,682449290,4,True,14749,True,FE:0B:89:DC:52:B3,2288,True,53.0,True,2.0,3026.0,2856.0,5747.0,4642.0,4728.0,3259.0,8842.0,2107.0,852.0,7746.0,7170.0,17.0,True,7482.0,True,2481.0,True,-53.0,FE:0B:89:DC:52:B3,852.0,True,3298.0,4885.0,5016.0,317.0,True,611.0,True,CovidHomeAg,4.0,N/A ,21192-475,Sponsored,2022-08-31,89.1.608,F1000227 COVID RC4,642.0
16780905,Sakal Mon,KMANE,2021-08-06T11:26:02.2754178+10:00,2021-08-06T11:26:16.8298501+10:00,682449290,4,True,14554,True,F7:CA:71:D4:6C:84,1858,True,47.0,True,2.0,3043.0,2918.0,5693.0,4707.0,5943.0,3163.0,10531.0,1994.0,20.0,6766.0,7588.0,225.0,True,7692.0,True,2413.0,True,-52.0,F7:CA:71:D4:6C:84,628.0,True,3275.0,4875.0,5183.0,419.0,True,617.0,True,CovidHomeAg,4.0,N/A ,21192-475,Sponsored,2022-08-31,89.1.608,F1000227 COVID RC4,644.0
16780906,Sakal Mon,KMANE,2021-08-06T11:31:15.7191026+10:00,2021-08-06T11:31:30.2443587+10:00,682630989,1,True,14525,True,D4:41:01:60:C1:D9,216,True,277.0,True,2.0,3046.0,2906.0,5709.0,4626.0,8116.0,3141.0,11946.0,2010.0,6.0,6451.0,6948.0,1448.0,True,7687.0,True,2386.0,True,-54.0,E9:3A:65:38:49:C4,1019.0,True,3314.0,5011.0,5193.0,227.0,True,614.0,True,CovidHomeAg,4.0,N/A ,21192-475,Sponsored,2022-08-31,89.1.608,F1000227 COVID RC4,643.0
16780907,Sakal Mon,KMANE,2021-08-06T11:34:01.4427841+10:00,2021-08-06T11:34:16.0074562+10:00,682630989,1,True,14564,True,F8:94:0C:3A:20:EC,1998,True,14.0,True,2.0,3020.0,2874.0,5715.0,4653.0,8060.0,3147.0,9570.0,2037.0,117.0,7426.0,7536.0,16.0,True,7642.0,True,2305.0,True,-53.0,F8:94:0C:3A:20:EC,1158.0,True,3307.0,4996.0,5157.0,172.0,True,640.0,True,CovidHomeAg,4.0,N/A ,21192-475,Sponsored,2022-08-31,89.1.608,F1000227 COVID RC4,610.0
16780909,Sakal Mon,KMANE,2021-08-06T11:35:51.5036457+10:00,2021-08-06T11:36:05.8667136+10:00,682449290,4,True,14363,True,E3:C2:05:F9:A2:15,1923,True,12.0,True,2.0,2979.0,2792.0,5575.0,4412.0,4742.0,3093.0,10635.0,1972.0,1.0,7917.0,8018.0,17.0,True,7501.0,True,2404.0,True,-53.0,E3:C2:05:F9:A2:15,988.0,True,3207.0,4919.0,5059.0,256.0,True,613.0,True,CovidHomeAg,4.0,N/A ,21192-475,Sponsored,2022-08-31,89.1.608,F1000227 COVID RC4,644.0
16780911,Sakal Mon,KMANE,2021-08-06T11:37:53.8420707+10:00,2021-08-06T11:38:08.3250788+10:00,682630989,1,True,14483,True,DD:E4:0C:85:A9:93,739,True,127.0,True,2.0,3040.0,2901.0,5741.0,4793.0,8409.0,3350.0,9168.0,2064.0,602.0,6708.0,6643.0,1094.0,True,7615.0,True,2409.0,True,-53.0,DA:84:01:EB:59:80,748.0,True,3301.0,5004.0,5188.0,452.0,True,623.0,True,CovidHomeAg,4.0,N/A ,21192-475,Sponsored,2022-08-31,89.1.608,F1000227 COVID RC4,667.0
16780913,Sakal Mon,KMANE,2021-08-06T11:44:58.2035808+10:00,2021-08-06T11:45:12.9323823+10:00,682630989,1,True,14728,True,F4:A5:8E:EC:FD:65,2037,True,48.0,True,2.0,3070.0,2952.0,5843.0,4776.0,6084.0,3243.0,9155.0,2080.0,415.0,6837.0,7571.0,227.0,True,7485.0,True,2425.0,True,-53.0,F4:A5:8E:EC:FD:65,999.0,True,3308.0,5063.0,5499.0,239.0,True,618.0,True,CovidHomeAg,4.0,N/A ,21192-475,Sponsored,2022-08-31,89.1.608,F1000227 COVID RC4,642.0
16780914,Sakal Mon,KMANE,2021-08-06T11:46:11.7117785+10:00,2021-08-06T11:46:26.3874725+10:00,682581923,3,True,14675,True,CE:9D:E7:11:75:D9,2245,True,5.0,True,2.0,2981.0,2790.0,5618.0,4498.0,8068.0,3211.0,9111.0,2053.0,457.0,7512.0,7682.0,12.0,True,7398.0,True,2408.0,True,-52.0,CE:9D:E7:11:75:D9,837.0,True,3257.0,4884.0,5144.0,493.0,True,619.0,True,CovidHomeAg,4.0,N/A ,21192-475,Sponsored,2022-08-31,89.1.608,F1000227 COVID RC4,645.0
16780915,Sakal Mon,KMANE,2021-08-06T11:46:40.7822305+10:00,2021-08-06T11:46:46.0160041+10:00,682449290,4,True,5233,True,D5:50:46:A9:C0:DC,2282,True,55.0,True,6.0,3046.0,2919.0,5731.0,4717.0,10035.0,3163.0,13860.0,2021.0,372.0,7110.0,7339.0,17.0,True,17.0,True,68.0,True,-53.0,D5:50:46:A9:C0:DC,1341.0,True,3237.0,4873.0,5048.0,185.0,True,615.0,True,CovidHomeAg,4.0,N/A ,21192-475,Sponsored,2022-08-31,89.1.608,F1000227 COVID RC4,644.0
16780916,Sakal Mon,KMANE,2021-08-06T11:48:49.9117137+10:00,2021-08-06T11:48:54.5721130+10:00,682630989,1,True,4660,True,DA:3B:69:D6:40:F3,1322,True,587.0,True,6.0,3061.0,2948.0,5731.0,4776.0,13152.0,3173.0,12423.0,2026.0,91.0,7736.0,7719.0,75.0,True,16.0,True,214.0,True,-52.0,FF:76:70:9C:68:A7,1017.0,True,3355.0,4968.0,5143.0,154.0,True,620.0,True,CovidHomeAg,4.0,N/A ,21192-475,Sponsored,2022-08-31,89.1.608,F1000227 COVID RC4,643.0
16780917,Sakal Mon,KMANE,2021-08-06T11:48:56.6734965+10:00,2021-08-06T11:49:01.1640429+10:00,682449290,4,True,4490,True,FD:9A:63:15:0B:76,2064,True,11.0,True,6.0,3047.0,2919.0,5731.0,4707.0,8105.0,3168.0,9500.0,2080.0,274.0,6305.0,6555.0,16.0,True,17.0,True,73.0,True,-52.0,FD:9A:63:15:0B:76,895.0,True,3269.0,4861.0,4936.0,142.0,True,620.0,True,CovidHomeAg,4.0,N/A ,21192-475,Sponsored,2022-08-31,89.1.608,F1000227 COVID RC4,643.0
16780918,Sakal Mon,KMANE,2021-08-06T11:49:00.9101764+10:00,2021-08-06T11:49:05.6520175+10:00,682630989,1,True,4740,True,E7:8A:24:57:93:A4,1909,True,9.0,True,6.0,3017.0,2832.0,5731.0,4535.0,11548.0,3297.0,15095.0,2107.0,826.0,5752.0,5773.0,15.0,True,103.0,True,203.0,True,-53.0,E7:8A:24:57:93:A4,1081.0,True,3267.0,4975.0,5138.0,175.0,True,619.0,True,CovidHomeAg,4.0,N/A ,21192-475,Sponsored,2022-08-31,89.1.608,F1000227 COVID RC4,613.0
16780919,Sakal Mon,KMANE,2021-08-06T11:49:46.5003514+10:00,2021-08-06T11:49:51.7293247+10:00,682630989,1,True,5228,True,F9:17:20:9E:6F:FE,423,True,157.0,True,2.0,2985.0,2754.0,5656.0,4444.0,7294.0,3227.0,11861.0,2074.0,731.0,7026.0,7090.0,1448.0,True,75.0,True,67.0,True,-53.0,E3:8B:47:08:4F:E7,1331.0,True,3316.0,5084.0,5198.0,161.0,True,622.0,True,CovidHomeAg,4.0,N/A ,21192-475,Sponsored,2022-08-31,89.1.608,F1000227 COVID RC4,937.0
16780920,Sakal Mon,KMANE,2021-08-06T11:49:48.2423127+10:00,2021-08-06T11:49:53.2619063+10:00,682051906,2,True,5019,True,F9:17:20:9E:6F:FE,401,True,212.0,True,2.0,3061.0,2939.0,5811.0,4766.0,13062.0,3173.0,10871.0,2064.0,449.0,6663.0,6990.0,1449.0,True,76.0,True,67.0,True,-51.0,E4:C4:EF:AE:19:9D,1103.0,True,3301.0,4915.0,5111.0,146.0,True,611.0,True,CovidHomeAg,4.0,N/A ,21192-475,Sponsored,2022-08-31,89.1.608,F1000227 COVID RC4,946.0
